record_id,compound_name,pubchem_cid,cas_number,raw_smiles,smiles,inchi,inchikey,endpoint,candidate_label,label_status,label_quality,evidence_type,evidence_subtype,hazard_codes,measurement_type,measurement_value,measurement_unit,baseline_value,control_value,statistical_significance,exposure_route,exposure_concentration,concentration_unit,exposure_duration,duration_unit,exposure_frequency,test_system,species,model_name,source_name,source_id,source_url,doi,publication_year,source_quality,evidence_tier,sample_weight,review_status,reviewer,reviewer_note,reviewed_at,retrieved_at,raw_file,raw_sha256,evidence_fingerprint,label,identity_key,training_origin,exposure_signature
literature:pmid8800298:calcipotriol,Calcipotriol,5288783.0,112965-21-6,C[C@H](/C=C/[C@H](C1CC1)O)[C@H]2CC[C@@H]\3[C@@]2(CCC/C3=C\C=C/4\C[C@H](C[C@@H](C4=C)O)O)C,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3/b13-6+,19-7+,21-10-/t17-,22-,23-,24+,25-,26+,27-/m1/s1",LWQQLNNNIPYSNX-UROSTWAQSA-N,skin_dryness,0.0,direct_verified,direct_experimental,direct_experimental,no_significant_tewl_increase,,TEWL / skin barrier function,no attributable TEWL increase,study-reported,study baseline,ointment vehicle,No increase in TEWL versus vehicle and no molecular influence on the skin barrier were reported.,dermal,50; 10; 2; 0.4,microgram/g ointment,48,hours,occlusive patch; separate 1-week ROAT,human multicentre patch test and repeated open application test,human,,Acta Dermato-Venereologica,PMID:8800298,https://pubmed.ncbi.nlm.nih.gov/8800298/,10.2340/0001555576194202,1996.0,primary_article,A,1.0,verified,RalphGuard evidence mapping v2,Negative is limited to barrier/TEWL under tested doses; the article still describes mild non-corrosive irritation.,2026-08-20,2026-08-20T16:18:14.828506+00:00,not_committed_pubmed_xml,13b9fe40b94946771401efa71319a10cea4b26e196712cfe64344219a06389dd,09acb3a111f8253a8218569b2053e9b6cbcbd15c00cbeef032eeb481cbbc1953,0,LWQQLNNNIPYSNX-UROSTWAQSA-N,direct_experimental,dermal|50; 10; 2; 0.4|microgram/g ointment|48|hours|occlusive patch; separate 1-week roat|tewl / skin barrier function|human multicentre patch test and repeated open application test|human
clp:607-130-00-2:123-92-2,Isoamyl Acetate,31276.0,123-92-2,,CC(=O)OCCC(C)C,,MLFHJEHSLIIPHL-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),607-130-00-2,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,ac2f7e5c819069993eb5be153819b8f8d15452f27691228d49b63070e0da72f8,1,MLFHJEHSLIIPHL-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
clp:602-085-00-5:75-26-3,2-Bromopropane,6358.0,75-26-3,,CC(C)Br,,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),602-085-00-5,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,b77bcc9eadf21d8e462838b12db333b98528d6612144553862a619c381ddda54,1,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
clp:606-004-00-4:108-10-1,Methyl Isobutyl Ketone,7909.0,108-10-1,,CC(=O)CC(C)C,,NTIZESTWPVYFNL-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),606-004-00-4,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,3fa1cef178e025b215dcd8d5f5afeb567fd57879501b1ec008c0ba972a22a041,1,NTIZESTWPVYFNL-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
clp:601-006-00-1:109-66-0,Pentane,8003.0,109-66-0,,CCCCC,,OFBQJSOFQDEBGM-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),601-006-00-1,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,da2a950345dce5119d6df6565f9a85046dd9ea357815789e5b167b646201527e,1,OFBQJSOFQDEBGM-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
literature:pmid18498456:glycerol,Glycerol,753.0,56-81-5,OCC(O)CO,OCC(O)CO,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",PEDCQBHIVMGVHV-UHFFFAOYSA-N,skin_dryness,0.0,direct_verified,direct_experimental,direct_experimental,no_significant_tewl_increase,,TEWL / skin barrier function,no attributable TEWL increase,study-reported,study baseline,matched placebo cream,Glycerol increased corneometer hydration but showed no influence on TEWL versus the placebo cream.,dermal,20,% in cream,10,days,study treatment schedule,bilateral double-blind vehicle-controlled study (n=17),human,,International Journal of Cosmetic Science,PMID:18498456,https://pubmed.ncbi.nlm.nih.gov/18498456/,10.1046/j.1467-2494.2001.00060.x,2001.0,primary_article,A,1.0,verified,RalphGuard evidence mapping v2,Direct vehicle-controlled human evidence at 20%; this does not claim safety for every concentration or formulation.,2026-08-20,2026-08-20T16:18:14.828506+00:00,not_committed_pubmed_xml,ffa780d21dab3445470df036853c5b0e65c3f51cd257743e9e996c85a5169e83,60785253037b7cb577b1e029c9835535381c40a0a91984be5fc3b2a683c15146,0,PEDCQBHIVMGVHV-UHFFFAOYSA-N,direct_experimental,dermal|20|% in cream|10|days|study treatment schedule|tewl / skin barrier function|bilateral double-blind vehicle-controlled study (n=17)|human
clp:607-130-00-2:628-63-7,Amyl Acetate,12348.0,628-63-7,,CCCCCOC(C)=O,,PGMYKACGEOXYJE-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),607-130-00-2,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,568a9270bd33b03507cd7074f8199c82567a57582911855f07df2358d9983d03,1,PGMYKACGEOXYJE-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
clp:603-045-00-X:111-43-3,Propyl ether,8114.0,111-43-3,,CCCOCCC,,POLCUAVZOMRGSN-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),603-045-00-X,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,b759b6c36b5b994e1a500b8e21338b1991ee193a017dcc67745033d3d78dfc4f,1,POLCUAVZOMRGSN-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
clp:601-085-00-2:78-78-4,Isopentane,6556.0,78-78-4,,CCC(C)C,,QWTDNUCVQCZILF-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),601-085-00-2,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,4af15c2da019fcd4df6eaf95f0b945f0da0bd7b7f21b303c84a1ac01b3279195,1,QWTDNUCVQCZILF-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
clp:603-022-00-4:60-29-7,Diethyl Ether,3283.0,60-29-7,,CCOCC,,RTZKZFJDLAIYFH-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),603-022-00-4,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,52abd20c6587ca4c46641b586b0d252a7aa88a3622922d77ab2d4d657e0b982f,1,RTZKZFJDLAIYFH-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
